LastWriteTime,Type,MruEntries,Key,HiveName,Username,UUID
2025-11-09T12:34:49Z,RecentDocs,"[""1 := test2.ps1"",""0 := test.ps1""]",\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\MRUListEx,C:\Users\amir.haddad\NTUSER.DAT,amir.haddad,S-1-5-21-3946612926-3146796300-1202193237-1156
2025-11-09T12:34:49Z,.ps1,"[""1 := test2.ps1"",""0 := test.ps1""]",\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.ps1\MRUListEx,C:\Users\amir.haddad\NTUSER.DAT,amir.haddad,S-1-5-21-3946612926-3146796300-1202193237-1156
2026-03-11T19:41:42Z,RecentDocs,"[""0 := important files"",""1 := secret data.txt""]",\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\MRUListEx,C:\Users\Administrator.ONIDSecure\NTUSER.DAT,Administrator,S-1-5-21-3946612926-3146796300-1202193237-500
2026-03-11T19:41:42Z,.txt,"[""0 := secret data.txt""]",\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt\MRUListEx,C:\Users\Administrator.ONIDSecure\NTUSER.DAT,Administrator,S-1-5-21-3946612926-3146796300-1202193237-500
2026-03-11T19:41:42Z,Folder,"[""0 := important files""]",\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder\MRUListEx,C:\Users\Administrator.ONIDSecure\NTUSER.DAT,Administrator,S-1-5-21-3946612926-3146796300-1202193237-500
2025-11-07T13:49:13Z,RecentDocs,"[""6 := ::{8E908FC9-BECC-40F6-915B-F4CA0E70D03D}"",""1 := .onecontext"",""0 := opennebula-context.log"",""5 := ::{4026492F-2F69-46B8-B9BF-5654FC07E423}"",""4 := System32"",""3 := OpenNebula"",""2 := context.ps1""]",\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\MRUListEx,C:\Users\ansible\NTUSER.DAT,ansible,S-1-5-21-398115904-1435105030-3640373190-1001
2025-11-07T13:23:59Z,.log,"[""0 := opennebula-context.log""]",\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.log\MRUListEx,C:\Users\ansible\NTUSER.DAT,ansible,S-1-5-21-398115904-1435105030-3640373190-1001
2025-10-20T18:42:58Z,.ps1,"[""0 := context.ps1""]",\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.ps1\MRUListEx,C:\Users\ansible\NTUSER.DAT,ansible,S-1-5-21-398115904-1435105030-3640373190-1001
2025-11-07T13:23:59Z,Folder,"[""0 := .onecontext"",""2 := System32"",""1 := OpenNebula""]",\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder\MRUListEx,C:\Users\ansible\NTUSER.DAT,ansible,S-1-5-21-398115904-1435105030-3640373190-1001
2026-03-11T21:24:29Z,RecentDocs,"[""3 := Desktop"",""2 := ::{8E908FC9-BECC-40F6-915B-F4CA0E70D03D}"",""1 := important files"",""0 := secret data.txt""]",\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\MRUListEx,C:\Users\Administrator\NTUSER.DAT,Administrator,S-1-5-21-398115904-1435105030-3640373190-500
2026-03-11T21:22:21Z,Folder,"[""0 := important files""]",\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder\MRUListEx,C:\Users\Administrator\NTUSER.DAT,Administrator,S-1-5-21-398115904-1435105030-3640373190-500
2026-03-11T21:22:21Z,.txt,"[""0 := secret data.txt""]",\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt\MRUListEx,C:\Users\Administrator\NTUSER.DAT,Administrator,S-1-5-21-398115904-1435105030-3640373190-500
